[ 2025-08-20 23:16:54,188 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-20 23:16:58,408 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-20 23:16:58,408 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-20 23:16:58,408 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-20 23:16:58,458 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-20 23:16:58,459 ] 22 root - INFO - Data Ingestion Completed
[ 2025-08-20 23:16:58,466 ] 28 root - INFO - Initiate the data Validation
[ 2025-08-20 23:16:58,569 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 23:16:58,569 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 23:16:58,572 ] 32 root - INFO - Required number of columns:2
[ 2025-08-20 23:16:58,572 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-20 23:16:58,737 ] 30 root - INFO - Data Validation Completed
